haplotype_1	DAA-1001	100.00	248	0	0	1	248	25	272	3e-133	  459
haplotype_2	DAA-1001	99.60	248	1	0	1	248	25	272	2e-131	  453
haplotype_3	DAA-0302	100.00	248	0	0	1	248	25	272	3e-133	  459
haplotype_4	DAA-allele02	100.00	248	0	0	1	248	25	272	3e-133	  459
haplotype_5	DAA-0501	100.00	248	0	0	1	248	25	272	3e-133	  459
haplotype_6	DAA-0303	100.00	248	0	0	1	248	25	272	3e-133	  459
haplotype_7	DAA-0802	100.00	248	0	0	1	248	25	272	3e-133	  459
haplotype_8	DAA-0201	97.18	248	7	0	1	248	25	272	2e-121	  420
haplotype_9	DAA-allele01	100.00	248	0	0	1	248	25	272	3e-133	  459
haplotype_10	DAA-0201	100.00	248	0	0	1	248	25	272	3e-133	  459
haplotype_11	DAA-0201	99.60	248	1	0	1	248	25	272	2e-131	  453
haplotype_12	DAA-0201	99.60	248	1	0	1	248	25	272	2e-131	  453
